score,startHere,date,versionOrder,versionPages,pageCount,lane,tags,question,bernsteinNote,title,documentType,sourceClass,sourceUrl,pdfUrl,sourceNote
97,no,1995-03-03,45,225-227,3,constraints/diplomacy,Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",PM Horn Welcomes NATO Expansion Plans and Asks That Russia's Concerns Be Considered,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 68-70."
73,no,1995-03-06,46,228-231,4,core expansion policy,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","DFM Tarasyuk Discusses PFP, GOU Internal Problems",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 36-39. Confidential."
83,no,1995-03-06,47,232-235,4,candidate-state cases,Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Dialogue with Prime Minister Horn at Spanish Embassy,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 72-75. Confidential."
73,no,1995-03-18,48,236-239,4,constraints/diplomacy,Russia Constraint; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Mamedov Reiterates Russian Sensitivities over NATO Expansion,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 48-51. Secret; Nodis."
93,no,1995-03-21,49,240-243,4,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Presidential Aide Says Yeltsin Angered Over MFA Mishandling of NATO Expansion Issue,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 77-80. Confidential; declassified in part."
69,no,1995-03-22,50,244-245,2,core expansion policy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","Night Note from Geneva, Wednesday, March 22, 1995",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 52-53. Secret; Nodis; Special Encryption; Eyes Only."
83,no,1995-03-29,51,246-249,4,candidate-state cases,Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Czech Foreign Minister Zieleniec Addresses NATO Membership with PermReps,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 54-57. Confidential."
119,no,1995-04-03,52,250-255,6,constraints/diplomacy,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Elements of a NATO-Russia Relationship,Options paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/118449,https://clinton.presidentiallibraries.us/files/original/30a20581e145dde08f2fa55c745c04f2.pdf,"Source: Clinton Presidential Records, NSC Records Management, DC0193 DC Meeting on NATO Expansion and NATO-Russia Relations, April 4, 1995, Mandatory Declassification Review 2015-0768-M, Clinton Digital Library, PDF pages 84-89. Confidential."
87,no,1995-05-01,53,256-267,12,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","Secretary Christopher's Meeting with Andrei Kozyrev, April 26",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 58-69. Secret; Nodis."
203,yes,1995-05-10,54,268-283,16,constraints/diplomacy,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Summary Report on One-On-One Meeting Between Presidents Clinton and Yeltsin, May 10, 1995, Kremlin",Summary report,nara-iscap,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-11.pdf,https://www.archives.gov/files/declassification/iscap/pdf/2016-156-doc-11.pdf,"Source: National Archives, Interagency Security Classification Appeals Panel, ISCAP Appeal No. 2016-156, document no. 11, Clinton Library photocopy, PDF pages 1-16. Declassified March 5, 2018."
77,no,1995-05-25,55,284-287,4,candidate-state cases,Presidential Choice; Bureaucratic Process; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",5/24 Meeting of DOD Deputy Assistant Secretary Kruzel and NSC Senior Director Fried with Slovak President Kovac,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 70-73. Confidential."
229,yes,1995-06-16,56,288-304,17,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Open Door Deferral; Ratification Public Case,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Troika Meeting on European Security/NATO Enlargement,NSC information memorandum with strategy papers,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 131-147. Secret."
117,no,1995-07-17,57,305-308,4,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Ratification Public Case,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",European Security/NATO Enlargement Progress Report,Presidential information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 184-187. Secret."
103,no,1995-07-19,58,309-312,4,core expansion policy,Presidential Choice; Russia Constraint; Allied Politics; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Bartoszewski and the Clinton Administration: What the Foreign Minister Meant to Say,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 90-93. Confidential."
73,no,1995-07-19,59,313-315,3,candidate-state cases,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Demarche: Polish FonMin Bartoszewski on NATO,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 87-89. Confidential."
95,no,1995-07-27,60,316-317,2,candidate-state cases,Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",West European Attitudes Toward NATO Enlargement,Presidential information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 169-170. Secret."
103,no,1995-09-30,61,318-322,5,constraints/diplomacy,Presidential Choice; Russia Constraint; Allied Politics; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Clinton-Kohl Telcon of September 23, 1995",Cable transmitting telcon,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 81-85. Nodis."
83,no,1995-10-02,62,323-323,1,constraints/diplomacy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",The NATO Enlargement Study,Presidential information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 195. Confidential."
77,no,1995-10-03,63,324-329,6,candidate-state cases,Presidential Choice; Bureaucratic Process; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Memcon: President Clinton's Meeting with President Iliescu,Cable transmitting memcon,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 86-91. Nodis."
83,no,1995-11-28,64,330-332,3,constraints/diplomacy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Germans Causing Problems on NATO Enlargement,NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 205-207. Confidential."
73,no,1995-12-08,65,333-337,5,candidate-state cases,Russia Constraint; Candidate Selection; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Change in Style not Substance in Poland's Campaign for NATO Membership,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 92-96."
93,no,1996-04-17,66,338-341,4,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Your Meetings with President Yeltsin,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 115-118. Secret; Nodis."
103,no,1996-05-04,67,342-344,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Allied Politics; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Responding to President Chirac's Call for an Agreement with Russia Prior to NATO Enlargement,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 97-99. Nodis."
85,no,1996-05-11,68,345-349,5,candidate-state cases,Russia Constraint; Candidate Selection; Open Door Deferral; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Polish FonMin Rosati and Acting Secretary Talbott Discuss NATO Enlargement and Regional Relations,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 119-123. Confidential."
115,no,1996-06-03,69,350-352,3,candidate-state cases,Presidential Choice; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Latvian President Discusses NATO Enlargement, Urges President Clinton to Meet Baltic Leaders in June",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 113-115. Confidential."
107,no,1996-06-03,70,353-358,6,constraints/diplomacy,Presidential Choice; Russia Constraint; Candidate Selection; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Memorandum of Conversation with Former President of Poland Lech Walesa,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 124-129. Confidential; Nodis."
243,yes,1996-06-06,71,359-371,13,how/process,Alternatives; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Ratification Public Case,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",C-P-L Item: NATO Enlargement,NSC email with attached policy paper,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57565,https://clinton.presidentiallibraries.us/files/original/ae02d8219b6f90d0e5fc7a41f099bdce.pdf,"Source: Clinton Presidential Records, NSC Emails, MsMail-Record (Sept 94-Sept 97), [NATO Enlargement and Lake], Mandatory Declassification Review 2015-0770-M, Clinton Digital Library, PDF pages 2-14. Secret."
57,no,1996-06-17,72,372-377,6,candidate-state cases,Candidate Selection; Bureaucratic Process,Which records expose bureaucratic process rather than retrospective public rationale?,"Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Slovakia: Kramer Tells Kuchar No Benefit of Doubt for Slovakia on NATO Enlargement,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 100-105."
93,no,1996-09,73,378-380,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,President Clinton to President Yeltsin on NATO and Russia,Presidential letter draft,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 222-224. Confidential."
85,no,1996-09-17,74,381-383,3,candidate-state cases,Russia Constraint; Candidate Selection; Open Door Deferral; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Baltic States: Baltic Action Plan and NATO Enlargement,NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 231-233. Confidential."
123,no,1996-09-27,75,384-385,2,whether/whom/when,Alternatives; Russia Constraint; Allied Politics; Ratification Public Case; Bureaucratic Process,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.",Possible Foreign Policy Events for POTUS in October,NSC planning memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 241-242. Confidential."
241,yes,1996-10-01,76,386-395,10,whether/whom/when,Alternatives; Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral; Bureaucratic Process,What alternatives were on the table before NATO expansion hardened into policy?,"Best read for choice architecture: whether to expand, whom to invite, or when to name names.","Copenhagen Seminar: Secretary Perry, UK and German Defense Ministers Say ""Not Yet"" to Baltic NATO Membership; Russians Don't Show",Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 167-176. Unclassified; sensitive."
85,no,1996-10-04,77,396-398,3,candidate-state cases,Bureaucratic Process; Russia Constraint; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Your Meeting with the Troika on NATO Enlargement Issues,NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 238-240. Secret."
52,no,1996-10-29,78,399-402,4,candidate-state cases,Russia Constraint; Allied Politics; Candidate Selection; Open Door Deferral,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for tracking what policymakers preserved, postponed, or refused to decide in the first round.",ACTING SECRETARY AND LITHUANIAN FONMIN ON NATO ENLARGEMENT,TE,state-foia,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698709. RELEASE IN FULL."
83,no,1996-10-29,79,403-406,4,constraints/diplomacy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Ambassador's Farewell Call on Presidential Foreign Policy Advisor Ryurikov,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 182-185. Confidential."
217,yes,1996-11-01,80,407-427,21,constraints/diplomacy,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Lake Meeting with President Jacques Chirac of France,Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 178-198. Secret."
83,no,1996-11-06,81,428-430,3,constraints/diplomacy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","NATO Enlargement, NATO-Russia and START",NSC information memorandum,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 258-260. Secret."
83,no,1996-12-04,82,431-437,7,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",The Secretary's Breakfast Meeting with NATO Secretary General Solana,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 197-203. Confidential; Exdis."
97,no,1997-02-07,83,438-444,7,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics; Candidate Selection,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.","Meeting with Russian Prime Minister Viktor Chernomyrdin: March Summit, GCC Results, European Security, START, Economics",Memorandum of conversation,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 222-228. Confidential."
83,no,1997-02-07,84,445-449,5,constraints/diplomacy,Bureaucratic Process; Russia Constraint; Allied Politics,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Points to Be Made for Meeting with Russian Prime Minister Chernomyrdin,Presidential talking points,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 286-290. Secret."
93,no,1997-02-27,85,450-452,3,constraints/diplomacy,Presidential Choice; Russia Constraint; Bureaucratic Process,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,"Telephone call with President Boris Yeltsin of Russia, February 27, 1997, White House",Memorandum of telephone conversation,clinton-library-mdr,https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0,https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf,"Source: Clinton Presidential Records, Meetings and Telephone Calls with Foreign Leaders, Mandatory Declassification Review 2015-0782-M-2, Clinton Library PDF pages 87-89. Confidential."
111,no,1997-03-18,86,453-454,2,constraints/diplomacy,Presidential Choice; Bureaucratic Process; Russia Constraint; Allied Politics; Ratification Public Case,"Where did presidential choice enter, and what was delegated to interagency or allied bargaining?",Useful for weighing presidential diplomacy against Russia-related constraint and alliance strategy.,Pre-Brief on Helsinki Summit with Russian President Yeltsin,Presidential meeting brief,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 379-380. Confidential."
83,no,1997-03-21,87,455-458,4,constraints/diplomacy,Russia Constraint; Allied Politics; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Joint U.S.-Russian Statement on European Security,Joint presidential statement,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 239-242."
99,no,1997-03-25,88,459-462,4,constraints/diplomacy,Russia Constraint; Candidate Selection; Open Door Deferral; Bureaucratic Process,"How did Russian reactions shape, constrain, or mainly frame U.S. decisions?","Useful for reconstructing process, staff work, sequencing, and the institutional path to decision.",Russian Reactions to Helsinki,Cable,clinton-library-mdr,https://clinton.presidentiallibraries.us/items/show/100538,https://clinton.presidentiallibraries.us/files/original/ad30d667d8a7801aa376b34a405c46c6.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0771-M, Clinton Digital Library PDF pages 139-142."
